level,alpha,prev_cutoff,total_taxa_n,input_taxa_n,retained_taxa_n,train_cv_auc,train_cv_auc_ci_lower,train_cv_auc_ci_upper,train_auc,train_auc_ci_lower,train_auc_ci_upper,external_auc,external_auc_ci_lower,external_auc_ci_upper,train_loso_mean,train_loso_sd,train_isv_mean,train_isv_weighted_mean,train_loso_weighted_mean,status,rank_within_level,is_best
class,0.5,0.2,104,43,19,0.714254858194892,0.680024494683419,0.748485221706365,0.738140207759851,0.70907017929175,0.767210236227951,0.653505409319363,0.611546099284135,0.695464719354591,0.57053971921254,0.119617133009772,0.506683154036947,0.488795720988445,0.558132025835459,OK,14,FALSE
class,0.5,0.3,104,33,15,0.686585998296385,0.648515406456701,0.724656590136069,0.710606334599182,0.680259869870162,0.740952799328202,0.646307181190902,0.60325658020953,0.689357782172274,0.586050749950537,0.113997119132614,0.490385498132722,0.473790550168491,0.584919017150325,OK,1,TRUE
class,1,0.01,104,70,26,0.726377602854363,0.691525164008345,0.761230041700382,0.759857206962835,0.731918643622966,0.787795770302704,0.676863446630889,0.635068449417956,0.718658443843821,0.593007312307071,0.124314591825501,0.47143465657494,0.470632206936789,0.578544293353638,OK,4,FALSE
class,1,0.05,104,57,23,0.723651171786645,0.688948437872096,0.758353905701194,0.754706745162651,0.726517483471919,0.782896006853384,0.668114830905529,0.626085841539162,0.710143820271895,0.575179244668024,0.134102983300865,0.485531741250863,0.475883544078302,0.561629929790606,OK,12,FALSE
class,1,0.1,104,51,23,0.722702750939902,0.6885788294271,0.756826672452705,0.752466394743716,0.724182133282636,0.780750656204797,0.66275662322174,0.620700793916905,0.704812452526574,0.56142959810334,0.141396684878567,0.490636861387703,0.47843791104351,0.559246235077861,OK,13,FALSE
class,1,0.2,104,43,16,0.712024919264931,0.677562935879567,0.746486902650295,0.737031753367223,0.707910848065616,0.76615265866883,0.655302836698186,0.613257883716282,0.697347789680089,0.573903218929791,0.115252149424523,0.503899181965242,0.487817047882691,0.56194486837523,OK,11,FALSE
class,1,0.3,104,33,14,0.686241311422514,0.648937566328157,0.723545056516872,0.71103163281025,0.680705985856556,0.741357279763944,0.646221995059204,0.603028831216634,0.689415158901775,0.564496542000433,0.125956267962252,0.492803866924096,0.47472574381645,0.568503215224306,OK,8,FALSE
family,0.1,0.01,177,104,45,0.769422939991408,0.743940219927518,0.794905660055297,0.805869785073707,0.780328176446188,0.831411393701227,0.67567084078712,0.634646397643146,0.716695283931094,0.620483727007403,0.134764482882207,0.505140932879561,0.470261285328304,0.589370227194489,OK,11,FALSE
family,0.1,0.05,177,85,41,0.768192258606947,0.742979583207354,0.79340493400654,0.802253075877219,0.776471633006619,0.82803451874782,0.668191498424057,0.626831567703436,0.709551429144677,0.624181472339428,0.133692247583868,0.514540553187074,0.483575262713981,0.592536757497975,OK,10,FALSE
family,0.1,0.1,177,75,39,0.76843350402999,0.74303690865476,0.79383009940522,0.801328805749228,0.775481259565657,0.827176351932799,0.664886276514184,0.623438977245931,0.706333575782436,0.627740477347815,0.131812710887356,0.511576437831944,0.488424880471015,0.594134509503761,OK,7,FALSE
family,0.1,0.2,177,61,30,0.741208681477046,0.711106425890015,0.771310937064078,0.767957965802005,0.740304568480894,0.795611363123117,0.617301303347815,0.575244431711974,0.659358174983656,0.64097824078405,0.118076323122815,0.535635087620423,0.501896022614028,0.59815956794989,OK,4,FALSE
family,0.1,0.3,177,52,22,0.726251887849103,0.693625836781358,0.758877938916847,0.752757740762322,0.724108715169202,0.781406766355442,0.616960558821024,0.574457236471977,0.659463881170071,0.644870057234141,0.107866949000192,0.527468765342047,0.489671208179202,0.61079160823249,OK,2,FALSE
family,0.5,0.01,177,104,38,0.769857089208985,0.745758856056017,0.793955322361953,0.809483145465384,0.78418218844663,0.834784102484137,0.668097793679189,0.626191054962029,0.710004532396349,0.61950090554469,0.11540386883896,0.540841285982743,0.491980661997539,0.593285271038621,OK,8,FALSE
family,0.5,0.05,177,85,34,0.76696272548839,0.74294675799088,0.790978692985899,0.802678374088288,0.776891716794526,0.82846503138205,0.659928443649374,0.617656272611306,0.702200614687441,0.624158509032593,0.116470347782404,0.535012125403367,0.503362809235396,0.594347180509027,OK,6,FALSE
family,0.5,0.1,177,75,31,0.767203737869577,0.743052572376296,0.791354903362858,0.801874660933513,0.776018088870973,0.827731232996053,0.656248402760031,0.613880744661731,0.698616060858331,0.618594245971664,0.118939997446728,0.537422383559627,0.510338181653119,0.58917041148505,OK,12,FALSE
family,0.5,0.2,177,61,21,0.741131024330526,0.712790143323404,0.769471905337648,0.767278158425258,0.739555822099981,0.795000494750535,0.605477468268166,0.562689321630069,0.648265614906263,0.620754998086823,0.113858251675127,0.540075321257416,0.511749083167667,0.584726932170684,OK,15,FALSE
